Wordpair,GoldSimilarity,WW,CC,BB,WC,CW
sunset-string,0.05,0.179621841289,-0.00263519864529,0.240119546652,0.193042308092,0.207691562634
bank-seat,1.02,0.191538900137,0.0324241334109,0.147935941815,0.0685620050765,-0.0107844590118
room-building,2.11,0.544908344746,-0.013305876404,0.215068310499,-0.0582445003092,-0.0667423382401
computer_science-mathematics,3.1,0.853511708556,-0.0885397770131,0.480679659884,0.200054225329,0.152652811688
new_york-washington,3.62,0.749254390553,0.162197187543,0.23522053659,-0.283964591263,-0.253955185413
automobile-car,3.82,0.745385483182,-0.0706069958572,0.206714836163,-0.0941617154076,-0.211540167148
curandero-psychologist,2.63,0.411174178123,-0.23099988699,0.0605534166098,-0.0313297435641,-0.0194683168083
keyboard-light,0.24,0.22662602365,-0.0413923636079,0.0120978262275,0.0194499380887,-0.179652526975
nose-head,2.72,0.573848520151,0.0283656211713,0.258737504482,-0.0924441516399,-0.0167635401205
beef-meat,3.36,0.913570225239,0.00498967372004,0.568272292614,0.0603240206838,0.351406115126
biologist-microscope,1.08,0.3082992504,-0.287084639072,0.131687723499,0.110310158748,0.12129139133
volleyball-ball,1.47,0.276065468788,-0.34979429841,-0.132964529572,-0.327336639166,0.178693413734
television-cinema,2.98,0.590944742617,0.131400465965,0.409367585741,0.14628842473,0.0707326499064
eagle-falcon,3.72,0.688288074034,0.13902901113,0.425813581098,0.0060658082366,0.0560525763662
bike-skin,0.02,0.260164737701,-0.0148829780519,0.0847895893078,0.0224007740617,-0.0971349254251
science_fiction-comedy,2.78,0.593407154083,-0.0820441595263,0.301698464256,0.112147942185,-0.013264106868
tree-leaf,2.01,0.721988244175,0.23253954947,0.540454626083,0.156082177525,0.154053926468
trial-test,2.52,0.377902388573,-0.00308445114401,0.108684784692,0.125076457858,-0.316747982308
