Wordpair,GoldSimilarity,WW,CC,BB,WC,CW
joule-spacecraft,0.58,0.331360161,-0.282199264,0.038696397,0.186740756,-0.160000011
promised_land-baku,0.42,0.064430289,0.065381214,0.098604824,0.106249126,-0.029913127
car-bicycle,2.83,0.685448267,0.038840237,0.190122187,-0.243335248,-0.159065793
polyhedron-actor,0,0.058853541,-0.12700367,0.037210124,0.100914232,0.038537052
multiple_sclerosis-ms,3.92,0.204197762,0.306643546,0.378475368,0.216127274,0.17480436
fault-system,0.58,0.357056737,-0.196881792,0.036273158,-0.153897222,0.067453444
weapon-helmet,1.83,0.578618799,-0.266578778,0.226647586,0.220943112,-0.093467455
screenwriter-television,1.67,0.52470994,0.006289516,0.224950656,-0.015893023,-0.053169448
united_nations-ban_ki_moon,2.5,0.73286128,-0.027266547,0.420793951,0.115991972,0.029212382
si_o_seh_pol-mathematical_bridge,3,0,0,0,0,0
basilica-mosaic,1.5,0.543704927,-0.260473609,0.20536692,0.016894953,0.106732577
watercolor_painting-brush,2,0.452103138,-0.04963823,0.299182773,-0.08746843,0.31717971
democracy-monarchy,2.67,0.612632751,0.255987585,0.550965428,0.298848689,0.126476005
gauss-scientist,3,0.318564017,0.102477789,0.336232623,0.086963952,0.224107324
tuberculosis-led,0,0.113846913,-0.142774241,-0.175982545,0.007757005,-0.308481306
self_driving_car-autonomous_car,4,0,0,0,0,0
apocalypse-fire,1.25,0.260444329,-0.330008656,-0.027328117,0.085020249,-0.069782406
speed-post,0.25,0.172058061,0.22912738,0.47623384,0.42720432,0.228408217
playstation-wii,3.25,0.944544014,0.000940073,0.489646137,-0.032203877,0.072796077
laptop-notebook,4,0.700334072,0.401967537,0.246960446,-0.39204812,-0.366788791
harry_potter-wizard,3,0.519960403,0.196282625,0.337159952,-0.153624967,0.141859919
snowboard-skiing,3.17,0.804611433,0.019885737,0.362009905,-0.088903984,-0.060212914
pointer-slide,1.33,0.449207544,0.152342882,0.265722334,0.088550229,-0.168168351
sensor-radiator,1.25,0.567638389,-0.035453714,0.48802489,0.323859593,0.187248677
hit-frame,0.42,0.192609757,0.01069871,0.013921332,-0.16975382,-0.008676976
theory-hypothesis,3.83,0.727041483,-0.325132251,0.231164515,0.217124105,-0.176949352
wall_street-financial_market,2.92,0.383419894,-0.059811689,0.13280046,0.056559018,-0.123431511
darwin-evolution,2.58,0.420148904,0.205924926,0.372849882,0.147912243,0.038187484
actor-actress,3.42,0.891264373,-0.030887332,0.504867882,0.222522825,0.050198443
film-theatre,2.25,0.454777777,0.033816345,0.038422011,-0.10440696,-0.310557604
national_anthem-patriotism,2.42,0.375862926,-0.094541593,0.177714109,-0.164142013,0.20461568
screen-monitor,3.92,0.442259934,-0.072988291,0.156226039,0.153207118,-0.18916164
dairy-honey,0.83,0.583376204,-0.009707498,0.423636407,0.173974509,0.179664978
mount_everest-chomolungma,3.92,0.70337919,-0.048756625,0.464630274,0.001857534,0.32133033
tug_of_war-snakes_and_ladders,2.33,0,0,0,0,0
pesticide-pest,1.83,0.586400807,-0.078025065,0.239567235,-0.117621489,0.105954573
policeman-politician,2.17,0.340837141,-0.080421353,0.154501975,0.105258045,-0.052494652
neuropsychology-parapsychology,3.17,0.696457863,0.070096267,0.332906365,-0.144217955,-0.011578197
battery-energy,2.83,0.304071921,-0.038980141,0.19482879,0.00711149,0.132544488
legion_of_honour-stationery,0,0,0,0,0,0
spider_man-street,0.5,0.15441652,-0.098276748,-0.014351849,-0.124287195,0.041688154
peninsula-island,3,0.831357171,0.032542747,0.375477456,-0.246852025,0.02173517
equator-ecuador,1.17,0.278713107,0.055566743,0.000350614,-0.385576308,0.051914121
chart-graph,3.83,0.268654826,0.304309785,0.349054396,0.149363667,0.08365612
simulation-robotics,1.42,0.683600545,-0.021432787,0.392857224,0.125305042,-0.019803297
nike-adidas,3.17,0.857081464,0.001102934,0.523780465,0.127908885,0.318728019
society-culture,2.67,0.641191661,0.150640786,0.437139511,0.094746761,0.022308223
strategy_game-strategy,2,0.335804333,0.356074154,0.250710636,-0.10848429,-0.124302953
church-cathedral,3.58,0.816258788,-0.090797413,0.403874719,0.12549261,0.017752453
translator-foreigner,1.42,0.21535082,0.03757937,0.123068877,0.009252885,-0.028204279
biotope-biology,1.92,0.330107788,-0.22941071,0.076955643,-0.020022483,0.075269592
magma-volcano,2.25,0.682197194,-0.11030551,0.326873481,-0.13769208,0.259542048
brainstorming-telescope,0,0.224976195,-0.013802074,0.017292727,-0.046752508,-0.130970359
level-score,2.67,0.3657974,0.134959877,0.313422389,0.090524763,0.023317225
penny-bargain,1.42,0.442096558,0.159647484,0.151508504,-0.21110111,-0.087617358
political_party-association,2.08,0.330161343,0.100191474,0.023470034,-0.180544517,-0.206679195
tsunami-sea,2,0.363102815,-0.105849808,0.302682489,0.191278212,0.216713397
ostrich-orchard,0.42,0.261261909,-0.140265577,0.080167964,0.02131479,0.012332571
cinnamon-candy,1.75,0.634437664,0.196581423,0.260918843,-0.02568284,-0.317504845
broom-dust,1.83,0.383854002,0.072703731,0.152722725,-0.10419952,-0.090693429
galaxy-astronomer,1.42,0.307287503,0.151181897,0.290894508,0.202428344,0.066592727
