Wordpair,GoldSimilarity,WW,CC,BB,WC,CW
sunset-string,0.05,0.193460702896,0.300744551465,0.446436163571,0.267351895571,0.286871867589
bank-seat,1.02,0.19124675937,0.0826685726643,0.0727414923618,-0.101192809641,-0.0466139493355
room-building,2.11,0.530995130539,0.0131040491884,0.348736753984,0.148566016469,0.0801621127225
computer_science-mathematics,3.1,0.86229968071,-0.0113162752241,0.5202010584,0.0862853676081,0.186611920595
new_york-washington,3.62,0.774762034416,-0.0341003486396,0.329010844231,-0.22389338755,0.147294136559
automobile-car,3.82,0.75239543631,0.120953671634,0.290390866422,-0.27543976903,-0.122679121654
curandero-psychologist,2.63,0.38182502985,-0.187887400389,0.0816995252192,-0.120257295668,0.102468430996
keyboard-light,0.24,0.250290215015,-0.293575704098,-0.211191102862,0.0503528006375,-0.420729517937
nose-head,2.72,0.599253928617,-0.0281383937217,0.196819436361,-0.0661759595661,-0.144298749482
beef-meat,3.36,0.911490461471,-0.25687918067,0.429208695889,-0.118158944767,0.355553793245
biologist-microscope,1.08,0.268076435809,-0.133904799819,0.0995896160603,0.0365110523999,0.0129459433523
volleyball-ball,1.47,0.307609528303,-0.0819178745151,-0.0158253703266,-0.308673530817,0.0568021610379
television-cinema,2.98,0.62359205625,-0.114451191691,0.287755382791,0.17280229466,-0.0724547772083
eagle-falcon,3.72,0.705804407597,-0.110937597044,0.274135828018,0.018818528942,-0.07106526196
bike-skin,0.02,0.284839302301,-0.0576709170741,0.0910869911313,-0.0609533525081,0.0411598682404
science_fiction-comedy,2.78,0.609207510948,-0.117099560797,0.273492008448,-0.0275353938341,0.0798885151744
tree-leaf,2.01,0.703211426735,0.35216038538,0.573518037796,0.193758976088,0.0639368742704
trial-test,2.52,0.421113396949,0.0820088139762,0.203148167575,0.056733995676,-0.201842668543
